date,predicted_energy_kwh
2025-04-03,23082.8
2025-04-04,23284.494
2025-04-05,16302.462
2025-04-06,16873.678
2025-04-07,22561.648
2025-04-08,22470.3
2025-04-09,23119.291
2025-04-10,22480.602
2025-04-11,23072.697
2025-04-12,16463.041
2025-04-13,16630.982
2025-04-14,23008.828
2025-04-15,23027.504
2025-04-16,22327.928
2025-04-17,23089.152
2025-04-18,23044.727
2025-04-19,15996.449
2025-04-20,16557.434
2025-04-21,23491.283
2025-04-22,22667.936
2025-04-23,22997.092
2025-04-24,23487.719
2025-04-25,22756.18
2025-04-26,17190.611
2025-04-27,16760.723
2025-04-28,22838.512
2025-04-29,22321.176
2025-04-30,22923.639
2025-05-01,23150.545
2025-05-02,23043.553
2025-05-03,16669.277
2025-05-04,16115.359
2025-05-05,22911.465
2025-05-06,22727.354
2025-05-07,22469.162
2025-05-08,23467.883
2025-05-09,23280.99
2025-05-10,16699.87
2025-05-11,16532.326
2025-05-12,22743.979
2025-05-13,22850.6
2025-05-14,22575.578
2025-05-15,23522.723
2025-05-16,22544.28
2025-05-17,16497.709
2025-05-18,17337.307
2025-05-19,23251.979
2025-05-20,23234.695
2025-05-21,23076.178
2025-05-22,23638.39
2025-05-23,23645.287
2025-05-24,16841.102
2025-05-25,16818.732
2025-05-26,22442.822
2025-05-27,22889.059
2025-05-28,23010.207
2025-05-29,23553.588
2025-05-30,23490.24
2025-05-31,16891.607
2025-06-01,17214.941
2025-06-02,23737.906
2025-06-03,23272.252
2025-06-04,22398.88
2025-06-05,23025.379
2025-06-06,23005.516
2025-06-07,17097.502
2025-06-08,17441.738
2025-06-09,23377.617
2025-06-10,22542.557
2025-06-11,22462.477
2025-06-12,23376.924
2025-06-13,23066.338
2025-06-14,16887.953
2025-06-15,17165.824
2025-06-16,23089.113
2025-06-17,23033.129
2025-06-18,22756.781
2025-06-19,22521.844
2025-06-20,22660.56
2025-06-21,17143.719
2025-06-22,17280.234
2025-06-23,23018.992
2025-06-24,23231.002
2025-06-25,23007.111
2025-06-26,22661.324
2025-06-27,22193.512
2025-06-28,17048.326
2025-06-29,17184.246
2025-06-30,22754.629
2025-07-01,22236.326
2025-07-02,22876.607
2025-07-03,23351.934
2025-07-04,22562.047
2025-07-05,16757.488
2025-07-06,16731.182
2025-07-07,23081.205
2025-07-08,22482.902
2025-07-09,22929.54
2025-07-10,23442.379
2025-07-11,22475.594
2025-07-12,16640.062
2025-07-13,16973.455
2025-07-14,22990.766
2025-07-15,22362.066
2025-07-16,21929.0
2025-07-17,22906.678
2025-07-18,23343.646
2025-07-19,16806.672
2025-07-20,17089.17
2025-07-21,22966.783
2025-07-22,23119.494
2025-07-23,21265.38
2025-07-24,23151.219
2025-07-25,22589.549
2025-07-26,16988.803
2025-07-27,17213.363
2025-07-28,23089.014
2025-07-29,22623.879
2025-07-30,23146.1
2025-07-31,21994.957
2025-08-01,22711.729
2025-08-02,16750.555
2025-08-03,17077.318
2025-08-04,23286.727
2025-08-05,22338.205
2025-08-06,22821.08
2025-08-07,22806.635
2025-08-08,22595.56
2025-08-09,16191.987
2025-08-10,16869.426
2025-08-11,22837.443
2025-08-12,22424.69
2025-08-13,22923.664
2025-08-14,23018.133
2025-08-15,22577.885
2025-08-16,16621.016
2025-08-17,16970.39
2025-08-18,23464.873
2025-08-19,22503.195
2025-08-20,22188.3
2025-08-21,22936.648
2025-08-22,23003.229
2025-08-23,16577.355
2025-08-24,16825.9
2025-08-25,23257.508
2025-08-26,22900.754
2025-08-27,21771.863
2025-08-28,22964.639
2025-08-29,23660.602
2025-08-30,16535.105
2025-08-31,17041.88
2025-09-01,22470.76
2025-09-02,23471.17
2025-09-03,22269.645
2025-09-04,22355.576
2025-09-05,22472.43
2025-09-06,16283.237
2025-09-07,17067.23
2025-09-08,22904.926
2025-09-09,22932.06
2025-09-10,23197.14
2025-09-11,22324.498
2025-09-12,22401.652
2025-09-13,16266.791
2025-09-14,17062.652
2025-09-15,23148.395
2025-09-16,23114.637
2025-09-17,22145.688
2025-09-18,22818.22
2025-09-19,22747.436
2025-09-20,16867.492
2025-09-21,17026.447
2025-09-22,23232.977
2025-09-23,22916.744
2025-09-24,22542.879
2025-09-25,22059.934
2025-09-26,23134.545
2025-09-27,16542.912
2025-09-28,17012.143
2025-09-29,23687.324
2025-09-30,23515.252
2025-10-01,22438.945
2025-10-02,22633.432
2025-10-03,23151.92
2025-10-04,16800.215
2025-10-05,16957.318
2025-10-06,24268.016
2025-10-07,23923.297
2025-10-08,22737.031
2025-10-09,22695.848
2025-10-10,23911.89
2025-10-11,16531.848
2025-10-12,16765.705
2025-10-13,23957.023
2025-10-14,24207.143
2025-10-15,23270.02
2025-10-16,22898.104
2025-10-17,24157.615
2025-10-18,16482.979
2025-10-19,16801.357
2025-10-20,23983.723
2025-10-21,24268.084
2025-10-22,23307.719
2025-10-23,23232.707
2025-10-24,23935.873
2025-10-25,16565.715
2025-10-26,16769.648
2025-10-27,23940.578
2025-10-28,24284.883
2025-10-29,24343.727
2025-10-30,23469.38
2025-10-31,23811.19
2025-11-01,16571.406
2025-11-02,16705.447
2025-11-03,23889.184
2025-11-04,24137.453
2025-11-05,24217.473
2025-11-06,24517.834
2025-11-07,24250.422
2025-11-08,16601.424
2025-11-09,16706.287
2025-11-10,23823.164
2025-11-11,24051.834
2025-11-12,23784.14
2025-11-13,24102.752
2025-11-14,24037.791
2025-11-15,16548.703
2025-11-16,16697.162
2025-11-17,23877.844
2025-11-18,24052.783
2025-11-19,24012.773
2025-11-20,23867.61
2025-11-21,23889.984
2025-11-22,16495.994
2025-11-23,16703.338
2025-11-24,23746.445
2025-11-25,24082.207
2025-11-26,23843.836
2025-11-27,23804.242
2025-11-28,23885.904
2025-11-29,16475.158
2025-11-30,16695.576
2025-12-01,23884.297
2025-12-02,24058.156
2025-12-03,23847.61
2025-12-04,23961.777
2025-12-05,23919.738
2025-12-06,16441.666
2025-12-07,16710.242
2025-12-08,23777.078
2025-12-09,24068.49
2025-12-10,23813.55
2025-12-11,23728.467
2025-12-12,23838.031
2025-12-13,16442.492
2025-12-14,16704.117
2025-12-15,23857.111
2025-12-16,24025.668
2025-12-17,23994.117
2025-12-18,23955.814
2025-12-19,23855.623
2025-12-20,16362.435
2025-12-21,16504.924
2025-12-22,23709.457
2025-12-23,23968.982
2025-12-24,23715.781
2025-12-25,23718.348
2025-12-26,23826.045
2025-12-27,16444.11
2025-12-28,16627.004
2025-12-29,23849.396
2025-12-30,23931.164
2025-12-31,23879.773
